,filename,label
0,datasets\faces\Jirapron\img0.jpg,Jirapron
1,datasets\faces\Jirapron\img1.jpg,Jirapron
2,datasets\faces\Jirapron\img10.jpg,Jirapron
3,datasets\faces\Jirapron\img11.jpg,Jirapron
4,datasets\faces\Jirapron\img12.jpg,Jirapron
5,datasets\faces\Jirapron\img13.jpg,Jirapron
6,datasets\faces\Jirapron\img14.jpg,Jirapron
7,datasets\faces\Jirapron\img15.jpg,Jirapron
8,datasets\faces\Jirapron\img16.jpg,Jirapron
9,datasets\faces\Jirapron\img17.jpg,Jirapron
10,datasets\faces\Jirapron\img18.jpg,Jirapron
11,datasets\faces\Jirapron\img19.jpg,Jirapron
12,datasets\faces\Jirapron\img2.jpg,Jirapron
13,datasets\faces\Jirapron\img20.jpg,Jirapron
14,datasets\faces\Jirapron\img21.jpg,Jirapron
15,datasets\faces\Jirapron\img22.jpg,Jirapron
16,datasets\faces\Jirapron\img23.jpg,Jirapron
17,datasets\faces\Jirapron\img24.jpg,Jirapron
18,datasets\faces\Jirapron\img25.jpg,Jirapron
19,datasets\faces\Jirapron\img26.jpg,Jirapron
20,datasets\faces\Jirapron\img27.jpg,Jirapron
21,datasets\faces\Jirapron\img28.jpg,Jirapron
22,datasets\faces\Jirapron\img29.jpg,Jirapron
23,datasets\faces\Jirapron\img3.jpg,Jirapron
24,datasets\faces\Jirapron\img4.jpg,Jirapron
25,datasets\faces\Jirapron\img5.jpg,Jirapron
26,datasets\faces\Jirapron\img6.jpg,Jirapron
27,datasets\faces\Jirapron\img7.jpg,Jirapron
28,datasets\faces\Jirapron\img8.jpg,Jirapron
29,datasets\faces\Jirapron\img9.jpg,Jirapron
30,datasets\faces\MJeno\img0.jpg,MJeno
31,datasets\faces\MJeno\img1.jpg,MJeno
32,datasets\faces\MJeno\img10.jpg,MJeno
33,datasets\faces\MJeno\img11.jpg,MJeno
34,datasets\faces\MJeno\img12.jpg,MJeno
35,datasets\faces\MJeno\img13.jpg,MJeno
36,datasets\faces\MJeno\img14.jpg,MJeno
37,datasets\faces\MJeno\img15.jpg,MJeno
38,datasets\faces\MJeno\img16.jpg,MJeno
39,datasets\faces\MJeno\img17.jpg,MJeno
40,datasets\faces\MJeno\img18.jpg,MJeno
41,datasets\faces\MJeno\img19.jpg,MJeno
42,datasets\faces\MJeno\img2.jpg,MJeno
43,datasets\faces\MJeno\img3.jpg,MJeno
44,datasets\faces\MJeno\img4.jpg,MJeno
45,datasets\faces\MJeno\img5.jpg,MJeno
46,datasets\faces\MJeno\img6.jpg,MJeno
47,datasets\faces\MJeno\img7.jpg,MJeno
48,datasets\faces\MJeno\img8.jpg,MJeno
49,datasets\faces\MJeno\img9.jpg,MJeno
50,datasets\faces\Ponglert\img0.jpg,Ponglert
51,datasets\faces\Ponglert\img1.jpg,Ponglert
52,datasets\faces\Ponglert\img10.jpg,Ponglert
53,datasets\faces\Ponglert\img11.jpg,Ponglert
54,datasets\faces\Ponglert\img12.jpg,Ponglert
55,datasets\faces\Ponglert\img13.jpg,Ponglert
56,datasets\faces\Ponglert\img14.jpg,Ponglert
57,datasets\faces\Ponglert\img15.jpg,Ponglert
58,datasets\faces\Ponglert\img16.jpg,Ponglert
59,datasets\faces\Ponglert\img17.jpg,Ponglert
60,datasets\faces\Ponglert\img18.jpg,Ponglert
61,datasets\faces\Ponglert\img19.jpg,Ponglert
62,datasets\faces\Ponglert\img2.jpg,Ponglert
63,datasets\faces\Ponglert\img20.jpg,Ponglert
64,datasets\faces\Ponglert\img21.jpg,Ponglert
65,datasets\faces\Ponglert\img22.jpg,Ponglert
66,datasets\faces\Ponglert\img23.jpg,Ponglert
67,datasets\faces\Ponglert\img24.jpg,Ponglert
68,datasets\faces\Ponglert\img25.jpg,Ponglert
69,datasets\faces\Ponglert\img26.jpg,Ponglert
70,datasets\faces\Ponglert\img27.jpg,Ponglert
71,datasets\faces\Ponglert\img28.jpg,Ponglert
72,datasets\faces\Ponglert\img29.jpg,Ponglert
73,datasets\faces\Ponglert\img3.jpg,Ponglert
74,datasets\faces\Ponglert\img4.jpg,Ponglert
75,datasets\faces\Ponglert\img5.jpg,Ponglert
76,datasets\faces\Ponglert\img6.jpg,Ponglert
77,datasets\faces\Ponglert\img7.jpg,Ponglert
78,datasets\faces\Ponglert\img8.jpg,Ponglert
79,datasets\faces\Ponglert\img9.jpg,Ponglert
80,datasets\faces\saisamorn\img0.jpg,saisamorn
81,datasets\faces\saisamorn\img1.jpg,saisamorn
82,datasets\faces\saisamorn\img10.jpg,saisamorn
83,datasets\faces\saisamorn\img11.jpg,saisamorn
84,datasets\faces\saisamorn\img12.jpg,saisamorn
85,datasets\faces\saisamorn\img13.jpg,saisamorn
86,datasets\faces\saisamorn\img14.jpg,saisamorn
87,datasets\faces\saisamorn\img15.jpg,saisamorn
88,datasets\faces\saisamorn\img16.jpg,saisamorn
89,datasets\faces\saisamorn\img17.jpg,saisamorn
90,datasets\faces\saisamorn\img18.jpg,saisamorn
91,datasets\faces\saisamorn\img19.jpg,saisamorn
92,datasets\faces\saisamorn\img2.jpg,saisamorn
93,datasets\faces\saisamorn\img20.jpg,saisamorn
94,datasets\faces\saisamorn\img21.jpg,saisamorn
95,datasets\faces\saisamorn\img22.jpg,saisamorn
96,datasets\faces\saisamorn\img23.jpg,saisamorn
97,datasets\faces\saisamorn\img24.jpg,saisamorn
98,datasets\faces\saisamorn\img25.jpg,saisamorn
99,datasets\faces\saisamorn\img26.jpg,saisamorn
100,datasets\faces\saisamorn\img27.jpg,saisamorn
101,datasets\faces\saisamorn\img28.jpg,saisamorn
102,datasets\faces\saisamorn\img29.jpg,saisamorn
103,datasets\faces\saisamorn\img3.jpg,saisamorn
104,datasets\faces\saisamorn\img4.jpg,saisamorn
105,datasets\faces\saisamorn\img5.jpg,saisamorn
106,datasets\faces\saisamorn\img6.jpg,saisamorn
107,datasets\faces\saisamorn\img7.jpg,saisamorn
108,datasets\faces\saisamorn\img8.jpg,saisamorn
109,datasets\faces\saisamorn\img9.jpg,saisamorn
